2009-02-02 10:34:34 | [main] | ERROR | java.io.File | Christopher Diaz | 90 | ADULT | Developer | Operations | christopher.diaz@hotmail.com | 53.97% | 47822.49 | FAILURE | 8op4uhdup86u0h7ehfhhu13ry452soe6 | true | 139.14.183.187 | 1998-04-04
2003-10-24 04:30:54 | [main] | FATAL | java.util.List | Sarah Perez | 34 | ADULT | Specialist | Operations | sarah.perez@mail.com | 21.85% | 38962.54 | FAILURE | 5gugvkqopqwz0y8o9e7ss12s7tycmnhh | true | 211.233.173.61 | 2018-08-02
1999-02-03 23:27:47 | [main] | INFO  | java.util.Date | Sharon Taylor | 77 | ADULT | Consultant | Sales | sharon.taylor@zoho.com | 44.3% | 93810.46 | SUCCESS | seldmuz6usksxswadtqsjlmy891oxiq4 | false | 232.42.31.27 | 2020-06-07
2019-01-25 10:09:50 | [main] | INFO  | java.util.List | Brandon Garcia | 49 | ADULT | Manager | Marketing | brandon.garcia@zoho.com | 95.54% | 142491.74 | SUCCESS | ps3sgxnbxo1hb0top7np92e8w8nqo7i1 | true | 16.27.52.67 | 2021-10-04
1990-04-03 16:45:42 | [main] | INFO  | java.util.Map | Stephen Lee | 47 | ADULT | Coordinator | HR | stephen.lee@gmail.com | 87.08% | 81177.29 | FAILURE | z7tbdo5dfels2930961dpnjk9mbxewrt | false | 81.46.100.206 | 2010-09-15
1999-03-01 12:51:06 | [main] | FATAL | java.util.Date | Timothy Torres | 54 | ADULT | Specialist | R&D | timothy.torres@gmail.com | 28.93% | 114139.35 | FAILURE | xv95xau65h78lhidg15wcf4m0798qsyc | false | 217.57.72.235 | 1996-11-02
1994-06-18 01:20:53 | [main] | DEBUG | java.io.File | Laura Martinez | 30 | ADULT | Administrator | Customer Service | laura.martinez@outlook.com | 1.56% | 44014.58 | FAILURE | cu3957mgalcs7pxihudkwv1er6h0aadw | false | 138.82.136.120 | 1998-08-02
1991-09-27 23:12:02 | [main] | WARN  | java.net.URL | Charles Collins | 44 | ADULT | Developer | Operations | charles.collins@protonmail.com | 24.64% | 145129.23 | SUCCESS | x26xh67gzpgl61vsvvpah370ofl6ezp9 | true | 70.168.33.204 | 2004-06-09
2005-06-10 08:05:53 | [main] | WARN  | java.lang.Integer | Jonathan Cruz | 84 | ADULT | Specialist | Operations | jonathan.cruz@hotmail.com | 40.37% | 59801.85 | FAILURE | bn75uu8hjfqius5lht2lzg3nkg3i6vir | false | 214.170.1.24 | 1991-07-13
1994-03-15 03:27:40 | [main] | WARN  | java.lang.Integer | Larry Smith | 20 | ADULT | Manager | Operations | larry.smith@yahoo.com | 19.64% | 33176.47 | SUCCESS | 2g2xyx6puq9qj9uj6g7o56gc5x0z1yo1 | false | 156.87.160.159 | 2017-01-21
2018-01-05 19:59:16 | [main] | INFO  | java.util.Map | Christine Edwards | 59 | ADULT | Analyst | HR | christine.edwards@icloud.com | 22.27% | 112671.8 | FAILURE | lf77isnj3unxurcqvwfg6y01njsfk2pi | true | 28.25.152.145 | 2005-02-07
2021-11-24 17:32:09 | [main] | FATAL | java.io.InputStream | Michael Reyes | 51 | ADULT | Administrator | Marketing | michael.reyes@aol.com | 5.68% | 134824.98 | SUCCESS | g2httumo6ochvcdio8qi5skyvi4b8uxa | false | 211.48.41.187 | 2023-03-13
2022-04-20 13:07:58 | [main] | FATAL | java.util.Map | Jessica King | 61 | ADULT | Consultant | Sales | jessica.king@aol.com | 69.03% | 145343.2 | FAILURE | 980ell8niobnp2c5ut63an3qar0nmyck | false | 107.144.13.217 | 1993-01-04
2021-09-08 23:21:10 | [main] | INFO  | java.io.InputStream | Donald Mitchell | 18 | ADULT | Coordinator | Marketing | donald.mitchell@hotmail.com | 16.23% | 146093.1 | FAILURE | l97oqe3uicuob4lzk4qdn697xuep2wq0 | false | 14.226.0.216 | 2007-02-19
