nombre;email;edad;codigo_curso
alumno1;alumno1@mail.com;20;1001
alumno2;alumno2@mail.com;21;1001
alumno3;alumno3@mail.com;22;1001
alumno4;alumno4@mail.com;23;1001
alumno5;alumno5@mail.com;24;1001
alumno6;alumno6@mail.com;25;1001
alumno7;alumno7@mail.com;26;1001
alumno8;alumno8@mail.com;27;1001
alumno9;alumno9@mail.com;28;1001
alumno10;alumno10@mail.com;29;1001
alumno11;alumno11@mail.com;30;1001
alumno12;alumno12@mail.com;31;1001
alumno13;alumno13@mail.com;32;1001
alumno14;alumno14@mail.com;33;1001
alumno15;alumno15@mail.com;34;1001
alumno16;alumno16@mail.com;20;1002
alumno17;alumno17@mail.com;21;1002
alumno18;alumno18@mail.com;22;1002
alumno19;alumno19@mail.com;23;1002
alumno20;alumno20@mail.com;24;1002
alumno21;alumno21@mail.com;25;1002
alumno22;alumno22@mail.com;26;1002
alumno23;alumno23@mail.com;27;1002
alumno24;alumno24@mail.com;28;1002
alumno25;alumno25@mail.com;29;1002
alumno26;alumno26@mail.com;30;1002
alumno27;alumno27@mail.com;31;1002
alumno28;alumno28@mail.com;32;1002
alumno29;alumno29@mail.com;33;1002
alumno30;alumno30@mail.com;34;1002
alumno31;alumno31@mail.com;20;1003
alumno32;alumno32@mail.com;21;1003
alumno33;alumno33@mail.com;22;1003
alumno34;alumno34@mail.com;23;1003
alumno35;alumno35@mail.com;24;1003
alumno36;alumno36@mail.com;25;1003
alumno37;alumno37@mail.com;26;1003
alumno38;alumno38@mail.com;27;1003
alumno39;alumno39@mail.com;28;1003
alumno40;alumno40@mail.com;29;1003
alumno41;alumno41@mail.com;30;1003
alumno42;alumno42@mail.com;31;1003
alumno43;alumno43@mail.com;32;1003
alumno44;alumno44@mail.com;33;1003
alumno45;alumno45@mail.com;34;1003
alumno46;alumno46@mail.com;20;1004
alumno47;alumno47@mail.com;21;1004
alumno48;alumno48@mail.com;22;1004
alumno49;alumno49@mail.com;23;1004
alumno50;alumno50@mail.com;24;1004
alumno51;alumno51@mail.com;25;1004
alumno52;alumno52@mail.com;26;1004
alumno53;alumno53@mail.com;27;1004
alumno54;alumno54@mail.com;28;1004
alumno55;alumno55@mail.com;29;1004
alumno56;alumno56@mail.com;30;1004
alumno57;alumno57@mail.com;31;1004
alumno58;alumno58@mail.com;32;1004
alumno59;alumno59@mail.com;33;1004
alumno60;alumno60@mail.com;34;1004
alumno61;alumno61@mail.com;20;1005
alumno62;alumno62@mail.com;21;1005
alumno63;alumno63@mail.com;22;1005
alumno64;alumno64@mail.com;23;1005
alumno65;alumno65@mail.com;24;1005
alumno66;alumno66@mail.com;25;1005
alumno67;alumno67@mail.com;26;1005
alumno68;alumno68@mail.com;27;1005
alumno69;alumno69@mail.com;28;1005
alumno70;alumno70@mail.com;29;1005
alumno71;alumno71@mail.com;30;1005
alumno72;alumno72@mail.com;31;1005
alumno73;alumno73@mail.com;32;1005
alumno74;alumno74@mail.com;33;1005
alumno75;alumno75@mail.com;34;1005
alumno76;alumno76@mail.com;20;1006
alumno77;alumno77@mail.com;21;1006
alumno78;alumno78@mail.com;22;1006
alumno79;alumno79@mail.com;23;1006
alumno80;alumno80@mail.com;24;1006
alumno81;alumno81@mail.com;25;1006
alumno82;alumno82@mail.com;26;1006
alumno83;alumno83@mail.com;27;1006
alumno84;alumno84@mail.com;28;1006
alumno85;alumno85@mail.com;29;1006
alumno86;alumno86@mail.com;30;1006
alumno87;alumno87@mail.com;31;1006
alumno88;alumno88@mail.com;32;1006
alumno89;alumno89@mail.com;33;1006
alumno90;alumno90@mail.com;34;1006
alumno91;alumno91@mail.com;20;1007
alumno92;alumno92@mail.com;21;1007
alumno93;alumno93@mail.com;22;1007
alumno94;alumno94@mail.com;23;1007
alumno95;alumno95@mail.com;24;1007
alumno96;alumno96@mail.com;25;1007
alumno97;alumno97@mail.com;26;1007
alumno98;alumno98@mail.com;27;1007
alumno99;alumno99@mail.com;28;1007
alumno100;alumno100@mail.com;29;1007
alumno101;alumno101@mail.com;30;1007
alumno102;alumno102@mail.com;31;1007
alumno103;alumno103@mail.com;32;1007
alumno104;alumno104@mail.com;33;1007
alumno105;alumno105@mail.com;34;1007
alumno106;alumno106@mail.com;20;1008
alumno107;alumno107@mail.com;21;1008
alumno108;alumno108@mail.com;22;1008
alumno109;alumno109@mail.com;23;1008
alumno110;alumno110@mail.com;24;1008
alumno111;alumno111@mail.com;25;1008
alumno112;alumno112@mail.com;26;1008
alumno113;alumno113@mail.com;27;1008
alumno114;alumno114@mail.com;28;1008
alumno115;alumno115@mail.com;29;1008
alumno116;alumno116@mail.com;30;1008
alumno117;alumno117@mail.com;31;1008
alumno118;alumno118@mail.com;32;1008
alumno119;alumno119@mail.com;33;1008
alumno120;alumno120@mail.com;34;1008
alumno121;alumno121@mail.com;20;1009
alumno122;alumno122@mail.com;21;1009
alumno123;alumno123@mail.com;22;1009
alumno124;alumno124@mail.com;23;1009
alumno125;alumno125@mail.com;24;1009
alumno126;alumno126@mail.com;25;1009
alumno127;alumno127@mail.com;26;1009
alumno128;alumno128@mail.com;27;1009
alumno129;alumno129@mail.com;28;1009
alumno130;alumno130@mail.com;29;1009
alumno131;alumno131@mail.com;30;1009
alumno132;alumno132@mail.com;31;1009
alumno133;alumno133@mail.com;32;1009
alumno134;alumno134@mail.com;33;1009
alumno135;alumno135@mail.com;34;1009
alumno136;alumno136@mail.com;20;1010
alumno137;alumno137@mail.com;21;1010
alumno138;alumno138@mail.com;22;1010
alumno139;alumno139@mail.com;23;1010
alumno140;alumno140@mail.com;24;1010
alumno141;alumno141@mail.com;25;1010
alumno142;alumno142@mail.com;26;1010
alumno143;alumno143@mail.com;27;1010
alumno144;alumno144@mail.com;28;1010
alumno145;alumno145@mail.com;29;1010
alumno146;alumno146@mail.com;30;1010
alumno147;alumno147@mail.com;31;1010
alumno148;alumno148@mail.com;32;1010
alumno149;alumno149@mail.com;33;1010
alumno150;alumno150@mail.com;34;1010
